Parameter,Co,Fx,DM,DMFx,p (Co vs Fx),p (DM vs DMFx)
--- Distal Radius ---,,,,,,
Total vBMD (mg HA/cm³),257.23 ± 69.42,227.55 ± 71.66,277.13 ± 72.53,240.11 ± 71.47,0.078,0.003
Trabecular vBMD (mg HA/cm³),109.09 ± 43.90,89.27 ± 39.29,113.58 ± 37.43,96.57 ± 37.09,0.051,0.008
Cortical vBMD (mg HA/cm³),856.59 ± 90.36,837.97 ± 77.86,871.17 ± 83.44,840.98 ± 88.45,0.360,0.040
"Trabecular Number (Tb.N, 1/mm)",1.10 ± 0.22,0.97 ± 0.25,1.12 ± 0.25,1.02 ± 0.26,0.026,0.014
"Trabecular Thickness (Tb.Th, mm)",0.23 ± 0.04,0.22 ± 0.02,0.22 ± 0.03,0.22 ± 0.02,0.242,0.408
"Trabecular Separation (Tb.Sp, mm)",0.93 ± 0.22,1.11 ± 0.42,0.93 ± 0.33,1.05 ± 0.33,0.025,0.033
"Cortical Thickness (Ct.Th, mm)",0.90 ± 0.28,0.82 ± 0.22,0.94 ± 0.22,0.84 ± 0.24,0.161,0.017
"Cortical Porosity (Ct.Po, %)",0.01 ± 0.01,0.01 ± 0.02,0.01 ± 0.01,0.01 ± 0.00,0.610,0.024
Stiffness (kN/mm),45804.27 ± 21280.42,40924.49 ± 17207.42,47012.11 ± 18234.38,41562.39 ± 18313.77,0.299,0.080
"Failure Load (F.Load, kN)",2429.18 ± 1187.95,2149.69 ± 959.11,2512.55 ± 1020.86,2207.31 ± 1015.27,0.287,0.079
--- Distal Tibia ---,,,,,,
Total vBMD (mg HA/cm³),259.07 ± 51.73,249.64 ± 44.20,273.59 ± 55.14,254.89 ± 55.02,0.417,0.047
Trabecular vBMD (mg HA/cm³),97.60 ± 32.47,91.94 ± 34.39,107.89 ± 31.77,100.30 ± 34.25,0.473,0.176
Cortical vBMD (mg HA/cm³),907.58 ± 60.52,897.46 ± 53.76,903.97 ± 76.13,893.84 ± 72.65,0.461,0.423
"Trabecular Number (Tb.N, 1/mm)",0.88 ± 0.17,0.79 ± 0.25,0.92 ± 0.19,0.85 ± 0.22,0.062,0.032
"Trabecular Thickness (Tb.Th, mm)",0.25 ± 0.02,0.26 ± 0.03,0.25 ± 0.02,0.25 ± 0.03,0.039,0.763
"Trabecular Separation (Tb.Sp, mm)",1.19 ± 0.29,1.54 ± 1.01,1.14 ± 0.36,1.28 ± 0.44,0.032,0.042
"Cortical Thickness (Ct.Th, mm)",1.41 ± 0.26,1.39 ± 0.20,1.45 ± 0.24,1.36 ± 0.27,0.745,0.046
"Cortical Porosity (Ct.Po, %)",0.02 ± 0.02,0.02 ± 0.01,0.05 ± 0.12,0.04 ± 0.08,0.736,0.738
Stiffness (kN/mm),128495.48 ± 29185.04,126112.15 ± 22708.88,131999.14 ± 25554.39,126178.55 ± 23133.47,0.707,0.161
"Failure Load (F.Load, kN)",7047.69 ± 1576.33,6903.13 ± 1232.77,7214.07 ± 1395.46,6900.76 ± 1254.06,0.674,0.166
