Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,58.05882352941177,6.591735764740336,56.90625,7.113636949209686,0.49694199990788573,0.1682712063483061,0.5827205882352942
BMI,28.335294117647063,4.3639176417069,29.3903125,4.434506543719417,0.33376387916253675,0.2398722751334365,0.5569852941176471
L1-L4 T SCORE,-1.6558823529411761,0.6583685881487379,-1.35625,0.9210574217678007,0.1315963247293324,0.3761853780426857,0.5882352941176471
NECK_TSCORE,-1.2911764705882351,0.6556826870493506,-1.28125,0.5544177416516037,0.9474191993540997,0.016306591199880316,0.5013786764705882
TBS,1.2605673486786018,0.14664901791864804,1.2771073369565218,0.09200570115922466,0.5877224711533101,0.13420446109253678,0.5969669117647058
RADIUS_ttvBMD,254.09411764705885,69.21961948700046,302.865625,69.98536072441011,0.005950579090808492,0.7008248560960508,0.6764705882352942
RADIUS_TB.N,1.0109411764705882,0.21507813114201935,1.22796875,0.22533909707228975,0.00016495748579663174,0.9860048006909525,0.7702205882352942
RADIUS_CT.TH,0.9144411764705883,0.24873208066127925,1.0030000000000001,0.1983434622876642,0.11611937668670516,0.392314790163497,0.6222426470588236
RADIUS_CT.PO,0.006235294117647059,0.004492814623841804,0.0076875,0.0058609561038804,0.2611331092207357,0.27923545917038917,0.5602022058823529
TIBIA_ttvBMD,262.86470588235295,51.91243140866509,294.06875,50.27249897534244,0.015856051985877827,0.6103521260476,0.6530330882352942
TIBIA_TB.N,0.8735294117647059,0.1932848792929231,0.99671875,0.15481565195001984,0.005931483539296801,0.7011094172043876,0.6920955882352942
TIBIA_CT.TH,1.4043823529411765,0.25857898561243625,1.520625,0.17902076830320826,0.038711948168248814,0.5198542592780376,0.6433823529411764
TIBIA_CT.PO,0.02423529411764706,0.01609641184094448,0.035875000000000004,0.05214418595617596,0.2192025315055714,0.3056084244471679,0.5064338235294118
F.Load_RADIUS,-2159.7888029411765,559.4522306565888,-2511.313093092105,503.24752028772394,0.009402600832560063,0.6595589080136859,0.6645220588235294
Stiffness_RADIUS,41044.11764705882,9877.452843309371,47433.72662978469,8830.964820281819,0.007443971707371294,0.6808216721708563,0.6700367647058824
F.Load_TIBIA,-7080.132017647059,881.0214414581202,-7598.843145753589,1042.745651527679,0.032364147331533935,0.538777852855319,0.6231617647058824
Stiffness_TIBIA,129132.79411764706,16225.94884457088,139184.33776913874,19436.253199464583,0.025579894072971263,0.5630115741981959,0.6231617647058824
