Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,59.51063829787234,7.225776144336788,57.22727272727273,8.870813487154944,0.18041770870732218,0.2832050904944028,0.5959864603481625
BMI,28.542553191489368,4.401004563231833,28.387727272727272,4.599916512708688,0.8700392706733253,0.0344194780516542,0.5178916827852998
L1-L4 T SCORE,-1.6276595744680855,0.7574850056370965,-1.3568181818181817,0.8423106998077199,0.10990831541600699,0.33872424777653426,0.6088007736943908
NECK_TSCORE,-1.3382978723404253,0.647252786948628,-1.2909090909090908,0.57215146060193,0.7129614689859396,0.07741754162663349,0.5236943907156673
TBS,1.2543465926611161,0.13725916564430596,1.284191699604743,0.08131022779538596,0.2141706131163848,0.2624480487146338,0.6438588007736944
RADIUS_ttvBMD,251.54042553191493,68.22603308942514,290.58181818181816,64.84728490390353,0.006376769305619897,0.5860750559380784,0.6544970986460348
RADIUS_TB.N,1.0277021276595744,0.21934228907801465,1.2099772727272728,0.21458217796304926,0.00012913443019349922,0.8397628700212736,0.7282398452611218
RADIUS_CT.TH,0.9001914893617022,0.24562941672523073,0.9730681818181821,0.20602408955189463,0.13004935655747965,0.32053814563304334,0.609284332688588
RADIUS_CT.PO,0.008936170212765958,0.015770644517334634,0.007454545454545456,0.005864574551687824,0.5592109272521462,0.12297213675510225,0.5002417794970986
TIBIA_ttvBMD,263.49787234042554,47.29730431403732,283.60227272727275,49.58281533061567,0.05084467627130389,0.4152513686366795,0.601063829787234
TIBIA_TB.N,0.8847021276595746,0.20983709156241814,0.9781590909090909,0.15236979850622875,0.017686955049835733,0.5070287655902239,0.629835589941973
TIBIA_CT.TH,1.4030638297872342,0.24698102411312975,1.4535,0.21823078247260316,0.3060096778357492,0.21597038699735244,0.5640715667311411
TIBIA_CT.PO,0.024808510638297872,0.015391468977937013,0.032318181818181815,0.04554209538911544,0.2886079905565658,0.22394230977087606,0.5382011605415861
F.Load_RADIUS,-2182.591859574468,571.5426849965506,-2526.779129066986,841.7491469587803,0.02408896058358621,0.48140897986275905,0.6266924564796905
Stiffness_RADIUS,41370.18510638298,10112.162962255314,47636.70800347978,14965.170329541721,0.020777081209235725,0.4937869325348116,0.63394584139265
F.Load_TIBIA,-7167.288382978722,844.5454931478281,-7280.851542366247,1313.6646833110071,0.6227338950062369,0.10356404184843135,0.5382011605415861
Stiffness_TIBIA,130643.3170212766,15509.475883168117,133269.27746846454,24149.553827008072,0.5360593436405177,0.13030861894647477,0.5377176015473888
