Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,58.05882352941177,6.494075021172979,56.90625,7.001604168867304,0.49694199990788573,0.1682712063483061,0.5827205882352942
BMI,28.335294117647063,4.299263435748663,29.3903125,4.364667430325449,0.33376387916253675,0.2398722751334365,0.5569852941176471
L1-L4 T SCORE,-1.6558823529411761,0.6486144402042884,-1.35625,0.906551673927085,0.1315963247293324,0.3761853780426857,0.5882352941176471
NECK_TSCORE,-1.2911764705882351,0.6459683324321637,-1.28125,0.5456862079070718,0.9474191993540997,0.016306591199880316,0.5013786764705882
HT_TSCORE,-0.38529411764705884,0.6971084618712189,-0.4375,0.5694020986965187,0.7447650311700797,0.08052899553470147,0.5321691176470589
TBS,1.2605673486786018,0.14447631976379083,1.2771073369565218,0.09055670192271408,0.5877224711533101,0.13420446109253678,0.5969669117647058
FRAX – Major Osteoporotic Fracture (%),4.20572529982867,3.227517595613059,3.4029581310679613,2.760184917951147,0.29029062634242564,0.2626274368707958,0.5946691176470589
FRAX – Hip Fracture (%),0.8473457675753228,1.0007590844060281,0.6282774390243901,0.7707603757825692,0.3323295686963775,0.24059027699100946,0.5790441176470589
RADIUS_ttvBMD,254.09411764705885,68.19408694901405,302.865625,68.88316017619528,0.005950579090808492,0.7008248560960508,0.6764705882352942
RADIUS_TB.N,1.0109411764705882,0.21189161230053868,1.22796875,0.22179022808374016,0.00016495748579663174,0.9860048006909525,0.7702205882352942
RADIUS_CT.PO,0.006235294117647059,0.0044262507273910845,0.0076875,0.005768651813898981,0.2611331092207357,0.27923545917038917,0.5602022058823529
RADIUS_CT.TH,0.9144411764705883,0.24504695722590547,1.0030000000000001,0.19521974797647906,0.11611937668670516,0.392314790163497,0.6222426470588236
TIBIA_ttvBMD,262.86470588235295,51.14331583232808,294.06875,49.48075659726213,0.015856051985877827,0.6103521260476,0.6530330882352942
TIBIA_TB.N,0.8735294117647059,0.19042124129137508,0.99671875,0.152377457809341,0.005931483539296801,0.7011094172043876,0.6920955882352942
TIBIA_CT.PO,0.02423529411764706,0.01585793329671009,0.035875000000000004,0.0513229663503582,0.2192025315055714,0.3056084244471679,0.5064338235294118
TIBIA_CT.TH,1.4043823529411765,0.2547479740386891,1.520625,0.17620136740388823,0.038711948168248814,0.5198542592780376,0.6433823529411764
F.Load_RADIUS,-2159.7888029411765,551.1635912471341,-2511.313093092105,495.32186716530714,0.009402600832560063,0.6595589080136859,0.6645220588235294
Stiffness_RADIUS,41044.11764705882,9731.112118550798,47433.72662978469,8691.885816252543,0.007443971707371294,0.6808216721708563,0.6700367647058824
F.Load_TIBIA,-7080.132017647059,867.9685503619958,-7598.843145753589,1026.323433840065,0.032364147331533935,0.538777852855319,0.6231617647058824
Stiffness_TIBIA,129132.79411764706,15985.55112751993,139184.33776913874,19130.151341733923,0.025579894072971263,0.5630115741981959,0.6231617647058824
