Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,60.09322033898305,8.45701780916536,57.96907216494845,8.8405476926011,0.07399397680598738,0.24607873281761622,0.5553468460597588
BMI,27.796610169491526,4.592474003265008,27.692164948453605,4.437286667830758,0.8663646142338525,0.02309105557493596,0.5017473353136467
L1-L4 T SCORE,-1.9355932203389832,1.3324692984855728,-1.6103092783505153,1.4208627467201687,0.08532904800049661,0.2369124647735849,0.5641272060108335
NECK_TSCORE,-1.6186440677966105,1.0764732820327312,-1.4474226804123709,1.1274134097852364,0.2572293013838894,0.1556948247993946,0.5276952647213
TBS,1.2533172439204125,0.12478569262125125,1.275100253996713,0.1073215931782162,0.17663310865625792,0.18580316769426233,0.5699370959287087
RADIUS_ttvBMD,235.32033898305087,71.4993067437816,270.97731958762887,71.81731381480293,0.00035308606165760883,0.4977049518130857,0.6421894111479993
RADIUS_TB.N,0.9982966101694914,0.25574437388676924,1.1148247422680413,0.2431040590942693,0.0008066381726664155,0.4658769523922816,0.6326664336886249
RADIUS_CT.TH,0.8334237288135594,0.23041728800508468,0.9257938144329896,0.2349538047744851,0.004133859799218851,0.3973370489175724,0.616241481740346
RADIUS_CT.PO,0.0071440677966101715,0.010841732778315004,0.007814432989690723,0.007173925437692186,0.602132164496409,0.07155818365864239,0.5375240258605627
TIBIA_ttvBMD,252.88813559322034,51.03177855155847,269.09690721649486,54.25863689621267,0.025328449891762063,0.30867566110265354,0.5872357155338109
TIBIA_TB.N,0.8252881355932205,0.22947633070484466,0.9095773195876289,0.18550341613271498,0.003906320287271418,0.39986121661426094,0.603442250567884
TIBIA_CT.TH,1.3730508474576266,0.2449848363511724,1.4366907216494846,0.2445084508093373,0.05917448728758919,0.2599984117121464,0.5816879259129827
TIBIA_CT.PO,0.03366101694915254,0.06295504030505958,0.03942268041237114,0.1032893221178931,0.6154922187650154,0.06893665677720169,0.5061593569806045
F.Load_RADIUS,-2185.3339979036573,990.4839935844005,-2486.7664990233316,1069.7136092014753,0.03335712545445907,0.2935220688336945,0.605276952647213
Stiffness_RADIUS,41319.12458843566,17828.21810611411,46638.54848320426,19123.384870866,0.036312402680195144,0.28873460579218246,0.6031801502708369
F.Load_TIBIA,-6901.666210814207,1240.6921408964695,-7162.607892290238,1447.540994053194,0.15617293400676702,0.19504053012601602,0.554080027957365
Stiffness_TIBIA,126153.22547238666,22874.978126824604,130915.53620085829,26625.368930224733,0.15986913163837804,0.1933064364225301,0.5497990564389306
