Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,60.49315068493151,8.516098031940615,58.23880597014925,7.722982859357808,0.10666510530143332,0.27475275874048816,0.5715600081782867
BMI,27.631643835616437,4.455671163470498,28.178507462686568,4.034145770877718,0.45245056616775975,0.12747695381385116,0.534042118176242
L1-L4 T SCORE,-1.7424657534246575,1.279545917767896,-1.5970149253731343,1.3631581142895173,0.5190184946343458,0.10938178942714823,0.5111429155591903
NECK_TSCORE,-1.526027397260274,1.1501074872054795,-1.4208955223880597,1.0805660917485185,0.58174583660797,0.0934144483939987,0.5097117153956245
HT_TSCORE,-0.7315068493150684,1.2533655199762819,-0.5701492537313433,0.9934133716520304,0.4061523908878073,0.14097183303549954,0.5317930893477816
TBS,1.2567182846932698,0.13510191418833695,1.2687996971663422,0.11245778241833605,0.5708351290640211,0.09612851331231315,0.5482518912287876
FRAX – Major Osteoporotic Fracture (%),4.949168772443144,3.7156976269223803,4.225054339950732,3.7166159732274866,0.2548221009717904,0.19345991608321841,0.5607237783684318
FRAX – Hip Fracture (%),1.3604744403608418,1.8362788907894927,1.03461958500182,1.7874253956245785,0.293413757811922,0.1784377611630549,0.5583725209568595
RADIUS_ttvBMD,240.11095890410957,70.97719402514615,277.1328358208956,71.98536623272547,0.002829830871241164,0.5143540067040937,0.6368840727867512
RADIUS_TB.N,1.0152739726027395,0.25936874159600487,1.1236567164179105,0.25185357936698927,0.014097432710971717,0.42066419913011577,0.6279901860560213
RADIUS_CT.PO,0.005890410958904109,0.004019001592897858,0.007895522388059703,0.005992867223869691,0.021524241812444108,0.3933776997462353,0.5787160089961153
RADIUS_CT.TH,0.8417671232876713,0.23776375523339005,0.9351343283582089,0.21446023153749522,0.01706130364097606,0.40852246507427015,0.6231854426497649
TIBIA_ttvBMD,254.88904109589038,54.64553663770691,273.58805970149257,54.72341178808006,0.0467374353392148,0.3395028634556056,0.5920057248006543
TIBIA_TB.N,0.8497260273972602,0.21533957002479828,0.9246865671641791,0.19107576124662393,0.032866083380888554,0.364662483113667,0.6011040686976079
TIBIA_CT.PO,0.040589041095890406,0.07836826230966631,0.04650746268656717,0.12250621344392296,0.7337606951683561,0.057661333598928145,0.5096094868125127
TIBIA_CT.TH,1.3636849315068493,0.26729476196315655,1.4502089552238806,0.23731624704986765,0.04704823077331787,0.3390169106766057,0.6062154978531997
F.Load_RADIUS,-2207.3084209084354,1008.2930373648435,-2512.553322466614,1013.209594933614,0.07853697292241105,0.29986350767420156,0.6152116131670415
Stiffness_RADIUS,41562.39110572197,18187.900128608908,47012.107505534535,18097.788587604377,0.0801972190633559,0.2981923492199329,0.61623389899816
F.Load_TIBIA,-6900.763453260798,1245.4404949204093,-7214.065233614226,1385.0111607797528,0.1640259583784555,0.23670892045233985,0.5706399509302801
Stiffness_TIBIA,126178.54524480567,22974.47307458175,131999.14494751123,25362.972546246445,0.15945669052490022,0.23932023247156015,0.568186464935596
