Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,60.49315068493151,8.575033669631393,58.23880597014925,7.781270349349184,0.10666510530143332,0.27475275874048816,0.5715600081782867
BMI,27.631643835616437,4.486506625952804,28.178507462686568,4.064592585991243,0.45245056616775975,0.12747695381385116,0.534042118176242
L1-L4 T SCORE,-1.7424657534246575,1.2884010124762288,-1.5970149253731343,1.3734462460114516,0.5190184946343458,0.10938178942714823,0.5111429155591903
NECK_TSCORE,-1.526027397260274,1.1580668035399284,-1.4208955223880597,1.088721423231806,0.58174583660797,0.0934144483939987,0.5097117153956245
TBS,1.2567182846932698,0.136036886688192,1.2687996971663422,0.11330653243973726,0.5708351290640211,0.09612851331231315,0.5482518912287876
RADIUS_ttvBMD,240.11095890410957,71.46839154021525,277.1328358208956,72.52865972310678,0.002829830871241164,0.5143540067040937,0.6368840727867512
RADIUS_TB.N,1.0152739726027395,0.26116370240149145,1.1236567164179105,0.25375438806409234,0.014097432710971717,0.42066419913011577,0.6279901860560213
RADIUS_CT.TH,0.8417671232876713,0.23940919877829492,0.9351343283582089,0.21607882228499944,0.01706130364097606,0.40852246507427015,0.6231854426497649
RADIUS_CT.PO,0.005890410958904109,0.004046815084577886,0.007895522388059703,0.006038097052122864,0.021524241812444108,0.3933776997462353,0.5787160089961153
TIBIA_ttvBMD,254.88904109589038,55.02371095376326,273.58805970149257,55.13642452875017,0.0467374353392148,0.3395028634556056,0.5920057248006543
TIBIA_TB.N,0.8497260273972602,0.21682982704531045,0.9246865671641791,0.1925178629221135,0.032866083380888554,0.364662483113667,0.6011040686976079
TIBIA_CT.TH,1.3636849315068493,0.2691445747751532,1.4502089552238806,0.23910733847485374,0.04704823077331787,0.3390169106766057,0.6062154978531997
TIBIA_CT.PO,0.040589041095890406,0.07891060969653474,0.04650746268656717,0.12343080175649988,0.7337606951683561,0.057661333598928145,0.5096094868125127
F.Load_RADIUS,-2207.3084209084354,1015.2709271112261,-2512.553322466614,1020.8565682856655,0.07853697292241105,0.29986350767420156,0.6152116131670415
Stiffness_RADIUS,41562.39110572197,18313.76945142734,47012.107505534535,18234.37760901958,0.0801972190633559,0.2981923492199329,0.61623389899816
F.Load_TIBIA,-6900.763453260798,1254.0595631249735,-7214.065233614226,1395.4642234942553,0.1640259583784555,0.23670892045233985,0.5706399509302801
Stiffness_TIBIA,126178.54524480567,23133.467864940158,131999.14494751123,25554.393922593234,0.15945669052490022,0.23932023247156015,0.568186464935596
