Variable,Mean_Fx,SD_Fx,Mean_Ctl,SD_Ctl,P_Value,Cohen_D,AUC
AGE,60.09322033898305,8.421106743294448,57.96907216494845,8.79485980177834,0.07399397680598738,0.24607873281761622,0.5553468460597588
BMI,27.796610169491526,4.572972963990505,27.692164948453605,4.4143548002725055,0.8663646142338525,0.02309105557493596,0.5017473353136467
L1-L4 T SCORE,-1.9355932203389832,1.3268112291958258,-1.6103092783505153,1.4135197376325521,0.08532904800049661,0.2369124647735849,0.5641272060108335
NECK_TSCORE,-1.6186440677966105,1.0719022495705008,-1.4474226804123709,1.1215869448908167,0.2572293013838894,0.1556948247993946,0.5276952647213
HT_TSCORE,-0.8432203389830508,1.1543197287565066,-0.5876288659793815,1.0865871788821573,0.10020583560213171,0.22628074812123994,0.5579241656473877
TBS,1.2533172439204125,0.12425581467507824,1.275100253996713,0.10676695590883585,0.17663310865625792,0.18580316769426233,0.5699370959287087
FRAX – Major Osteoporotic Fracture (%),5.037107125226261,3.590654596399938,4.2780752677409675,3.603151764714064,0.12681164941834788,0.21007524397294922,0.5708544469683733
FRAX – Hip Fracture (%),1.3086812732534105,1.642565036032533,1.0786019612773448,1.7106415961838084,0.31922501166925754,0.13683301333142492,0.5687576445919972
RADIUS_ttvBMD,235.32033898305087,71.19569897421798,270.97731958762887,71.44616242160353,0.00035308606165760883,0.4977049518130857,0.6421894111479993
RADIUS_TB.N,0.9982966101694914,0.25465840561000747,1.1148247422680413,0.24184769895724245,0.0008066381726664155,0.4658769523922816,0.6326664336886249
RADIUS_CT.PO,0.0071440677966101715,0.010795695488487501,0.007814432989690723,0.007136850639437071,0.602132164496409,0.07155818365864239,0.5375240258605627
RADIUS_CT.TH,0.8334237288135594,0.2294388662263839,0.9257938144329896,0.23373956509678814,0.004133859799218851,0.3973370489175724,0.616241481740346
TIBIA_ttvBMD,252.88813559322034,50.81508212234098,269.09690721649486,53.97822862684938,0.025328449891762063,0.30867566110265354,0.5872357155338109
TIBIA_TB.N,0.8252881355932205,0.22850190451659352,0.9095773195876289,0.18454473572984653,0.003906320287271418,0.39986121661426094,0.603442250567884
TIBIA_CT.PO,0.03366101694915254,0.0626877140855439,0.03942268041237114,0.1027555235981443,0.6154922187650154,0.06893665677720169,0.5061593569806045
TIBIA_CT.TH,1.3730508474576266,0.24394455633827622,1.4366907216494846,0.2432448327854033,0.05917448728758919,0.2599984117121464,0.5816879259129827
F.Load_RADIUS,-2185.3339979036573,986.2780977544136,-2486.7664990233316,1064.1853364871365,0.03335712545445907,0.2935220688336945,0.605276952647213
Stiffness_RADIUS,41319.12458843566,17752.514077907406,46638.54848320426,19024.555346890582,0.036312402680195144,0.28873460579218246,0.6031801502708369
F.Load_TIBIA,-6901.666210814207,1235.4237852890153,-7162.607892290238,1440.0601119633748,0.15617293400676702,0.19504053012601602,0.554080027957365
Stiffness_TIBIA,126153.22547238666,22777.84402295435,130915.53620085829,26487.769203251042,0.15986913163837804,0.1933064364225301,0.5497990564389306
